:nemesis	:info	:start-partition	:majority
2	:ok	:read	1131
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1135
1	:invoke	:read	nil
1	:ok	:read	1131
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1137
1	:ok	:read	1135
1	:invoke	:read	nil
1	:ok	:read	1137
2	:invoke	:read	nil
2	:ok	:read	1137
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	1
1	:invoke	:read	nil
2	:invoke	:add	4
0	:ok	:add	1
1	:ok	:read	1138
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1142
0	:invoke	:read	nil
0	:ok	:read	1142
1	:invoke	:read	nil
1	:ok	:read	1138
2	:invoke	:read	nil
2	:ok	:read	1142
0	:invoke	:read	nil
0	:ok	:read	1142
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1142
1	:ok	:read	1142
2	:invoke	:read	nil
2	:ok	:read	1142
0	:invoke	:read	nil
0	:ok	:read	1142
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	2
2	:invoke	:add	4
1	:ok	:add	2
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1147
0	:invoke	:read	nil
0	:ok	:read	1151
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1155
1	:ok	:read	1159
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	1160
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1164
1	:invoke	:read	nil
1	:ok	:read	1160
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	2
1	:invoke	:read	nil
1	:ok	:read	1160
0	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	1173
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	1174
1	:invoke	:add	3
2	:invoke	:read	nil
2	:ok	:read	1174
1	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	1174
0	:invoke	:read	nil
0	:ok	:read	1177
1	:invoke	:read	nil
1	:ok	:read	1177
2	:invoke	:read	nil
2	:ok	:read	1174
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	1186
0	:invoke	:read	nil
0	:ok	:read	1183
0	:invoke	:read	nil
0	:ok	:read	1186
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	1190
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	1190
2	:invoke	:read	nil
2	:ok	:read	1191
0	:invoke	:read	nil
0	:ok	:read	1195
0	:invoke	:read	nil
0	:ok	:read	1195
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	1195
0	:invoke	:read	nil
0	:ok	:read	1198
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	1198
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	1204
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	1198
2	:invoke	:read	nil
2	:ok	:read	1204
0	:invoke	:read	nil
0	:ok	:read	1207
0	:invoke	:read	nil
0	:ok	:read	1207
1	:invoke	:read	nil
1	:ok	:read	1198
2	:invoke	:read	nil
2	:ok	:read	1204
0	:invoke	:read	nil
0	:ok	:read	1207
0	:invoke	:read	nil
1	:invoke	:add	2
2	:invoke	:read	nil
0	:ok	:read	1207
0	:invoke	:add	3
2	:ok	:read	1204
0	:ok	:add	3
1	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	1212
1	:invoke	:read	nil
1	:ok	:read	1212
2	:invoke	:read	nil
2	:ok	:read	1212
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1212
1	:ok	:read	1212
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	1212
2	:ok	:read	1212
0	:invoke	:read	nil
0	:ok	:read	1212
0	:invoke	:add	4
1	:invoke	:read	nil
0	:ok	:add	4
1	:ok	:read	1216
2	:invoke	:read	nil
2	:ok	:read	1216
0	:invoke	:read	nil
0	:ok	:read	1216
0	:invoke	:read	nil
1	:invoke	:add	2
0	:ok	:read	1216
1	:ok	:add	2
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	1
1	:invoke	:read	nil
0	:ok	:add	1
2	:invoke	:add	3
1	:ok	:read	1220
2	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	1224
0	:invoke	:read	nil
0	:ok	:read	1224
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	1221
2	:invoke	:read	nil
2	:ok	:read	1224
0	:invoke	:read	nil
0	:ok	:read	1226
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
2	:invoke	:add	2
1	:ok	:read	1221
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	1229
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1235
1	:ok	:read	1237
1	:invoke	:read	nil
1	:ok	:read	1237
2	:invoke	:read	nil
2	:ok	:read	1239
0	:invoke	:add	1
1	:invoke	:add	4
0	:ok	:add	1
1	:ok	:add	4
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	1245
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	1246
2	:invoke	:read	nil
2	:ok	:read	1245
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	1246
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	1250
0	:invoke	:read	nil
0	:ok	:read	1250
0	:invoke	:read	nil
0	:ok	:read	1250
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	1250
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:add	4
1	:invoke	:read	nil
1	:ok	:read	1253
0	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	1253
0	:invoke	:read	nil
0	:ok	:read	1257
0	:invoke	:read	nil
0	:ok	:read	1257
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	1253
0	:invoke	:read	nil
0	:ok	:read	1259
0	:invoke	:read	nil
0	:ok	:read	1259
1	:invoke	:read	nil
1	:ok	:read	1259
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	1253
0	:ok	:read	1259
0	:invoke	:read	nil
0	:ok	:read	1259
1	:invoke	:read	nil
1	:ok	:read	1259
2	:invoke	:read	nil
2	:ok	:read	1253
0	:invoke	:read	nil
0	:ok	:read	1259
0	:invoke	:read	nil
0	:ok	:read	1259
1	:invoke	:read	nil
1	:ok	:read	1259
2	:invoke	:read	nil
2	:ok	:read	1257
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	1260
1	:invoke	:read	nil
2	:invoke	:add	4
1	:ok	:read	1260
2	:ok	:add	4
0	:invoke	:add	1
1	:invoke	:add	3
0	:ok	:add	1
1	:ok	:add	3
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	1264
0	:invoke	:read	nil
0	:ok	:read	1268
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	1273
0	:ok	:read	1273
0	:invoke	:read	nil
0	:ok	:read	1273
1	:invoke	:read	nil
1	:ok	:read	1276
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	1282
1	:invoke	:read	nil
1	:ok	:read	1282
2	:invoke	:read	nil
2	:ok	:read	1282
0	:invoke	:read	nil
0	:ok	:read	1282
0	:invoke	:read	nil
0	:ok	:read	1282
1	:invoke	:add	4
2	:invoke	:read	nil
1	:ok	:add	4
2	:ok	:read	1282
0	:invoke	:read	nil
0	:ok	:read	1286
0	:invoke	:read	nil
0	:ok	:read	1286
1	:invoke	:read	nil
1	:ok	:read	1286
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1286
0	:invoke	:add	1
1	:invoke	:read	nil
1	:ok	:read	1286
0	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	1291
0	:invoke	:read	nil
0	:ok	:read	1291
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	1290
2	:invoke	:read	nil
2	:ok	:read	1293
0	:invoke	:read	nil
0	:ok	:read	1293
0	:invoke	:read	nil
0	:ok	:read	1293
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	3
1	:invoke	:add	0
0	:ok	:add	3
1	:ok	:add	0
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	1295
2	:ok	:read	1301
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1301
1	:ok	:read	1301
1	:invoke	:read	nil
1	:ok	:read	1301
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	1301
0	:ok	:read	1301
0	:invoke	:read	nil
0	:ok	:read	1301
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	0
0	:invoke	:read	nil
1	:invoke	:add	3
2	:ok	:add	0
0	:ok	:read	1301
1	:ok	:add	3
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	1304
2	:ok	:read	1304
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	1306
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1306
0	:invoke	:read	nil
0	:ok	:read	1310
1	:invoke	:read	nil
1	:ok	:read	1306
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	1314
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	1316
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	1319
1	:invoke	:read	nil
1	:ok	:read	1316
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	1319
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	1327
2	:invoke	:read	nil
2	:ok	:read	1327
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	1328
1	:invoke	:add	0
2	:invoke	:read	nil
1	:ok	:add	0
2	:ok	:read	1328
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	1331
1	:invoke	:read	nil
1	:ok	:read	1328
2	:invoke	:read	nil
2	:ok	:read	1331
0	:invoke	:read	nil
0	:ok	:read	1331
0	:invoke	:read	nil
0	:ok	:read	1331
1	:invoke	:read	nil
1	:ok	:read	1328
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	1331
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	1328
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	1337
1	:ok	:read	1334
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	1334
2	:invoke	:read	nil
2	:ok	:read	1340
0	:invoke	:read	nil
0	:ok	:read	1347
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	1340
0	:ok	:read	1349
0	:invoke	:add	0
1	:invoke	:add	4
0	:ok	:add	0
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	1354
0	:invoke	:read	nil
1	:invoke	:add	1
0	:ok	:read	1349
1	:ok	:add	1
1	:invoke	:read	nil
2	:invoke	:add	4
1	:ok	:read	1355
0	:invoke	:read	nil
2	:ok	:add	4
0	:ok	:read	1354
0	:invoke	:read	nil
0	:ok	:read	1359
1	:invoke	:read	nil
1	:ok	:read	1355
2	:invoke	:read	nil
2	:ok	:read	1359
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	1359
2	:ok	:read	1359
0	:ok	:read	1359
